2020-01-01 11:50:37.360000,FG16 BHZ GI 00,LP,52.5,1982
2020-01-01 11:51:29.860000,FG16 BHZ GI 00,LP,45.0,2288
2020-01-01 11:55:39.860000,FG16 BHZ GI 00,LP,32.5,2055
2020-01-01 12:23:39.860000,FG16 BHZ GI 00,LP,32.5,2276
2020-01-01 12:29:47.360000,FG16 BHZ GI 00,LP,25.0,1916
2020-01-01 12:30:37.360000,FG16 BHZ GI 00,LP,47.5,3969
2020-01-01 12:35:24.860000,FG16 BHZ GI 00,LP,40.0,2953
2020-01-01 12:37:44.860000,FG16 BHZ GI 00,LP,42.5,1860
2020-01-01 12:43:14.860000,FG16 BHZ GI 00,LP,20.0,2147
2020-01-01 12:47:24.860000,FG16 BHZ GI 00,LP,90.0,1979
2020-01-01 13:02:54.860000,FG16 BHZ GI 00,LP,45.0,4004
2020-01-01 13:05:07.360000,FG16 BHZ GI 00,LP,90.0,1852
2020-01-01 13:10:54.860000,FG16 BHZ GI 00,LP,25.0,2354
2020-01-01 13:34:37.360000,FG16 BHZ GI 00,LP,42.5,2838
2020-01-01 13:39:04.860000,FG16 BHZ GI 00,LP,90.0,2725
2020-01-01 14:04:04.860000,FG16 BHZ GI 00,LP,52.5,3116
2020-01-01 14:08:19.860000,FG16 BHZ GI 00,LP,27.5,2773
2020-01-01 14:10:37.360000,FG16 BHZ GI 00,LP,30.0,2041
2020-01-01 14:12:07.360000,FG16 BHZ GI 00,LP,47.5,2556
2020-01-01 14:12:54.860000,FG16 BHZ GI 00,LP,35.0,2719
2020-01-01 14:15:54.860000,FG16 BHZ GI 00,LP,45.0,3110
2020-01-01 14:38:39.860000,FG16 BHZ GI 00,LP,32.5,2825
2020-01-01 14:39:54.860000,FG16 BHZ GI 00,LP,30.0,2150
2020-01-01 14:53:32.360000,FG16 BHZ GI 00,LP,35.0,2585
2020-01-01 15:00:44.860000,FG16 BHZ GI 00,LP,67.5,2978
2020-01-01 15:02:54.860000,FG16 BHZ GI 00,LP,95.0,2416
2020-01-01 15:04:29.860000,FG16 BHZ GI 00,LP,125.0,2542
2020-01-01 15:06:52.360000,FG16 BHZ GI 00,LP,77.5,2410
2020-01-01 15:16:52.360000,FG16 BHZ GI 00,LP,77.5,2356
2020-01-01 15:21:22.360000,FG16 BHZ GI 00,LP,55.0,4860
2020-01-01 15:24:49.860000,FG16 BHZ GI 00,LP,57.5,3297
2020-01-01 15:32:54.860000,FG16 BHZ GI 00,LP,45.0,4514
2020-01-01 15:34:34.860000,FG16 BHZ GI 00,LP,45.0,2881
2020-01-01 15:38:07.360000,FG16 BHZ GI 00,LP,95.0,3008
2020-01-01 16:19:14.860000,FG16 BHZ GI 00,LP,102.5,6889
2020-01-01 16:50:34.860000,FG16 BHZ GI 00,LP,57.5,2400
2020-01-01 16:52:14.860000,FG16 BHZ GI 00,LP,62.5,2955
2020-01-01 16:54:02.360000,FG16 BHZ GI 00,LP,52.5,2166
2020-01-01 17:37:12.360000,FG16 BHZ GI 00,LP,65.0,4697
2020-01-01 17:48:24.860000,FG16 BHZ GI 00,LP,47.5,2757
2020-01-01 18:02:49.860000,FG16 BHZ GI 00,LP,85.0,3567
2020-01-01 18:08:07.360000,FG16 BHZ GI 00,LP,57.5,2401
2020-01-01 18:09:44.860000,FG16 BHZ GI 00,LP,22.5,1791
2020-01-01 18:13:14.860000,FG16 BHZ GI 00,LP,35.0,2445
2020-01-01 18:16:59.860000,FG16 BHZ GI 00,LP,22.5,2127
